model_name,trial_number,objective_pr_auc,default_precision,default_recall,default_f1_score,default_roc_auc,best_f1_threshold,best_f1_precision,best_f1_recall,best_f1_score,best_cost_threshold,minimum_business_cost,best_cost_precision,best_cost_recall,best_cost_f1_score,best_cost_false_negatives,best_cost_false_positives,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,scale_pos_weight
xgboost_weighted,24,0.825847433639732,0.9130434782608695,0.7974683544303798,0.8513513513513513,0.9787139195984094,0.76,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.01,73100,0.6770833333333334,0.8227848101265823,0.7428571428571429,14,31,511,5,0.054477539785655275,0.1909094925477637,0.826404721706994,0.7798800007210819,0.003970767636215479,8.294579312528034e-05,2.059081950737248e-06,384.51485673976686
xgboost_weighted,25,0.8325231254384244,0.9242424242424242,0.7721518987341772,0.8413793103448276,0.970775326890595,0.87,0.9523809523809523,0.759493670886076,0.8450704225352113,0.03,76500,0.810126582278481,0.810126582278481,0.810126582278481,15,15,642,6,0.10238290987899505,0.12073569773948159,0.7686476025401072,0.6953681799656313,0.0029877678779984887,0.31134028309238465,1.5047095706277012e-05,178.2422191549465
xgboost_weighted,26,0.8263651935616635,0.8970588235294118,0.7721518987341772,0.8299319727891157,0.9802004057088635,0.88,0.9384615384615385,0.7721518987341772,0.8472222222222222,0.02,81500,0.8076923076923077,0.7974683544303798,0.802547770700637,16,15,293,8,0.18937904399789324,0.38470210671994637,0.8940592932171196,0.830130190612421,0.0001300116309429861,0.020171596309921727,1.3132013580343562e-08,505.93498788318436
xgboost_weighted,27,0.8349004365435019,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9824640830784899,0.36000000000000004,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.01,72200,0.7471264367816092,0.8227848101265823,0.7831325301204819,14,22,399,8,0.12652280929331453,0.8266759219812075,0.9616003814385908,0.5541992247355482,4.072432003456346e-07,0.00012246025631823635,2.1992950396570428e-07,347.8303044821081
xgboost_weighted,28,0.8388065691895953,0.8985507246376812,0.7848101265822784,0.8378378378378378,0.9730328824529525,0.64,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.02,72100,0.7558139534883721,0.8227848101265823,0.7878787878787878,14,21,558,11,0.08404752765168293,1.387535206310485,0.7500429813014569,0.6115272053392627,0.24063267094194554,0.05835232403419651,6.19726381912377e-08,263.4570496720756
xgboost_weighted,29,0.836454598245379,0.8857142857142857,0.7848101265822784,0.8322147651006712,0.9786496406220869,0.8400000000000001,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.01,71200,0.515625,0.8354430379746836,0.6376811594202898,13,62,566,12,0.07518120799381349,1.7649762375415015,0.8338997111968104,0.5734284195739767,0.04148735812202835,1.990328039448026,7.098264613277426e-05,272.1333717733102
xgboost_weighted,30,0.8311226591791235,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.9763144494130022,0.92,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.01,77600,0.7111111111111111,0.810126582278481,0.757396449704142,15,26,726,11,0.07874744527927503,0.7739927800964955,0.7471142800935557,0.621301473655698,0.28041293940136724,0.0018010499442310342,1.403483638313295e-06,229.50706586115257
xgboost_weighted,31,0.8416124521851627,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.9759145840927622,0.39,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.01,77100,0.7529411764705882,0.810126582278481,0.7804878048780488,15,21,529,11,0.06045223152345077,0.3135230966485099,0.5991145684652325,0.7015397878449674,0.0019211508189974481,0.07238924622778617,4.529485348607084e-08,164.3917823207353
xgboost_weighted,32,0.834406533670616,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.973730768481597,0.38,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.03,71600,0.8024691358024691,0.8227848101265823,0.8125,14,16,521,11,0.057339022961392,1.0085650330463836,0.5768108003107566,0.6393063386624928,0.0013443014906278983,0.030292507069091142,3.9687934856148686e-08,147.11051929668884
xgboost_weighted,33,0.8220359582156102,0.9104477611940298,0.7721518987341772,0.8356164383561644,0.97236922289222,0.75,0.9523809523809523,0.759493670886076,0.8450704225352113,0.01,71100,0.5196850393700787,0.8354430379746836,0.6407766990291263,13,61,219,12,0.08087712075458256,0.3650075544927459,0.590718290984576,0.706614695551707,0.008903281048260946,0.8630950416475656,1.2323326946451186e-07,216.53969260065008
