model_name,trial_number,objective_pr_auc,default_precision,default_recall,default_f1_score,default_roc_auc,best_f1_threshold,best_f1_precision,best_f1_recall,best_f1_score,best_cost_threshold,minimum_business_cost,best_cost_precision,best_cost_recall,best_cost_f1_score,best_cost_false_negatives,best_cost_false_positives,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda
lightgbm_balanced,21,0.8238940222183687,0.8205128205128205,0.810126582278481,0.8152866242038217,0.9726806002710291,0.79,0.8873239436619719,0.7974683544303798,0.84,0.05,65400,0.3094170403587444,0.8734177215189873,0.45695364238410596,10,154,755,0.030971216752667913,54,4,45,0.8075274199115345,0.8648067102061628,0.00013084466370348973,0.1887490811271034
lightgbm_balanced,22,0.8266546006428601,0.8533333333333334,0.810126582278481,0.8311688311688312,0.9731953886095428,0.87,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.03,60200,0.40350877192982454,0.8734177215189873,0.552,10,102,935,0.061314884140116974,98,3,76,0.7023408022350582,0.7327122497128112,0.0039049334172539477,0.08489043389812238
lightgbm_balanced,23,0.8452258046945399,0.9130434782608695,0.7974683544303798,0.8513513513513513,0.9666500635833163,0.91,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.02,75900,0.8767123287671232,0.810126582278481,0.8421052631578947,15,9,1069,0.07203753857831434,136,4,36,0.7815287363831915,0.9357095051032915,3.45155353598387e-05,0.008778835388201373
lightgbm_balanced,24,0.8318148168407441,0.8857142857142857,0.7848101265822784,0.8322147651006712,0.965966369016977,0.97,0.9384615384615385,0.7721518987341772,0.8472222222222222,0.01,71900,0.7738095238095238,0.8227848101265823,0.7975460122699386,14,19,1078,0.03746626504244213,137,5,36,0.7913120877742229,0.9416860695555195,3.230953776777884e-05,0.007408737160329846
lightgbm_balanced,25,0.840712195495958,0.9264705882352942,0.7974683544303798,0.8571428571428571,0.9704135837338016,0.36000000000000004,0.9264705882352942,0.7974683544303798,0.8571428571428571,0.3,75700,0.9014084507042254,0.810126582278481,0.8533333333333334,15,7,1093,0.07412274010538288,208,7,53,0.8490814648222588,0.9286022302869121,0.000941189093143205,3.1051031091941106e-05
lightgbm_balanced,26,0.8042612848132955,0.5454545454545454,0.8354430379746836,0.66,0.9730417868998891,0.99,0.9375,0.759493670886076,0.8391608391608392,0.44,67500,0.47183098591549294,0.8481012658227848,0.6063348416289592,12,75,958,0.02315324375481443,155,3,48,0.7700472005795816,0.8440708389703426,0.027288995656029442,0.010185420447676433
lightgbm_balanced,27,0.8402249292663048,0.8873239436619719,0.7974683544303798,0.84,0.9646563022614513,0.75,0.9117647058823529,0.7848101265822784,0.8435374149659864,0.02,65100,0.5677966101694916,0.8481012658227848,0.6802030456852792,12,51,878,0.048334175031057226,124,4,60,0.9051170712805725,0.7694383505118033,6.76670357794583e-05,0.03476622088081338
lightgbm_balanced,28,0.8467910233597981,0.8873239436619719,0.7974683544303798,0.84,0.9729254725617815,0.79,0.9538461538461539,0.7848101265822784,0.8611111111111112,0.16,71000,0.8666666666666667,0.8227848101265823,0.8441558441558441,14,10,1120,0.05398979258789236,74,6,34,0.8306892160941245,0.9290023237873846,1.0740300212083137e-06,2.7870521420773167
lightgbm_balanced,29,0.8378947122715549,0.8873239436619719,0.7974683544303798,0.84,0.9777366565471337,0.9,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.12,71200,0.8441558441558441,0.8227848101265823,0.8333333333333334,14,12,1118,0.03195991284317776,73,7,15,0.9312252490759432,0.8266823056276795,1.1614088660604258e-06,2.5183017146003954
lightgbm_balanced,30,0.844170554118043,0.9,0.7974683544303798,0.8456375838926175,0.9745972824741005,0.37,0.9027777777777778,0.8227848101265823,0.8609271523178808,0.37,70700,0.9027777777777778,0.8227848101265823,0.8609271523178808,14,7,995,0.05233231068618188,99,6,29,0.825024665391855,0.894255571816972,4.4412397438504805e-07,1.8147635703740261
