model_name,family,imbalance_strategy,type,default_threshold,best_f1_threshold,best_cost_threshold,minimum_business_cost,default_accuracy,default_precision,default_recall,default_f1_score,default_roc_auc,default_pr_auc,default_true_negatives,default_false_positives,default_false_negatives,default_true_positives,best_f1_accuracy,best_f1_precision,best_f1_recall,best_f1_f1_score,best_f1_roc_auc,best_f1_pr_auc,best_f1_true_negatives,best_f1_false_positives,best_f1_false_negatives,best_f1_true_positives,best_cost_accuracy,best_cost_precision,best_cost_recall,best_cost_f1_score,best_cost_roc_auc,best_cost_pr_auc,best_cost_true_negatives,best_cost_false_positives,best_cost_false_negatives,best_cost_true_positives
gradient_boosting,boosting,none_baseline,supervised,0.5,0.27,0.01,88800,0.9991441550176655,0.7941176470588235,0.6835443037974683,0.7346938775510204,0.9575917366732429,0.5850138852132085,45476,14,25,54,0.9992099892470758,0.7945205479452054,0.7341772151898734,0.7631578947368421,0.9575917366732429,0.5850138852132085,45475,15,21,58,0.998793039127477,0.62,0.7848101265822784,0.6927374301675978,0.9575917366732429,0.5850138852132085,45452,38,17,62
perceptron_balanced,linear,class_weight_balanced,supervised,0.5,0.36000000000000004,0.32,108400,0.9984419232372885,0.6818181818181818,0.189873417721519,0.297029702970297,0.9716582584571376,0.5158501983208702,45483,7,64,15,0.9986174811823828,0.5930232558139535,0.6455696202531646,0.6181818181818182,0.9716582584571376,0.5158501983208702,45455,35,28,51,0.9977177467137747,0.4125874125874126,0.7468354430379747,0.5315315315315315,0.9716582584571376,0.5158501983208702,45406,84,20,59
decision_tree_balanced,tree,class_weight_balanced,supervised,0.5,0.99,0.98,108300,0.9965546753275253,0.3010204081632653,0.7468354430379747,0.4290909090909091,0.8662312763133364,0.4789738625268015,45353,137,20,59,0.9987710943843402,0.6236559139784946,0.7341772151898734,0.6744186046511628,0.8662312763133364,0.4789738625268015,45455,35,21,58,0.9977396914569115,0.4154929577464789,0.7468354430379747,0.5339366515837104,0.8662312763133364,0.4789738625268015,45407,83,20,59
hist_gradient_boosting,boosting,none_baseline,supervised,0.5,0.99,0.25,164200,0.9985735916961092,0.5921052631578947,0.569620253164557,0.5806451612903226,0.7549103850895036,0.4713639642318426,45459,31,34,45,0.9987710943843402,0.676923076923077,0.5569620253164557,0.6111111111111112,0.7549103850895036,0.4713639642318426,45469,21,35,44,0.9983760890078781,0.5280898876404494,0.5949367088607594,0.5595238095238095,0.7549103850895036,0.4713639642318426,45448,42,32,47
random_undersampling_logistic_regression,resampling_pipeline,random_undersampling,supervised,0.5,0.99,0.98,106400,0.9601702912067415,0.03632478632478633,0.8607594936708861,0.06970784213223988,0.968993602711404,0.3559444302381868,43686,1804,11,68,0.9950404880510874,0.22676579925650558,0.7721518987341772,0.3505747126436782,0.968993602711404,0.3559444302381868,45282,208,18,61,0.9938554719217012,0.1926605504587156,0.7974683544303798,0.3103448275862069,0.968993602711404,0.3559444302381868,45226,264,16,63
sgd_log_loss_balanced,linear,class_weight_balanced,supervised,0.5,0.99,0.99,147500,0.9666001009458184,0.044794952681388014,0.8987341772151899,0.08533653846153846,0.9728344802446498,0.3311899205797943,43976,1514,8,71,0.9794597204239724,0.06847935548841894,0.8607594936708861,0.12686567164179105,0.9728344802446498,0.3311899205797943,44565,925,11,68,0.9794597204239724,0.06847935548841894,0.8607594936708861,0.12686567164179105,0.9728344802446498,0.3311899205797943,44565,925,11,68
ridge_classifier_balanced,linear,class_weight_balanced,supervised,0.5,0.16,0.14,163300,0.9982444205490575,0.0,0.0,0.0,0.946107226236953,0.1879161525576357,45489,1,79,0,0.9969935701902609,0.2898550724637681,0.5063291139240507,0.3686635944700461,0.946107226236953,0.1879161525576357,45392,98,39,40,0.9942724220413,0.1795774647887324,0.6455696202531646,0.2809917355371901,0.946107226236953,0.1879161525576357,45257,233,28,51
quadratic_discriminant_analysis,discriminant_analysis,none,supervised,0.5,0.99,0.99,136300,0.9778577541749874,0.062146892655367235,0.8354430379746836,0.11568799298860649,0.9613085084773118,0.15274483880879416,44494,996,13,66,0.9840681164826965,0.08472400513478819,0.8354430379746836,0.15384615384615385,0.9613085084773118,0.15274483880879416,44777,713,13,66,0.9840681164826965,0.08472400513478819,0.8354430379746836,0.15384615384615385,0.9613085084773118,0.15274483880879416,44777,713,13,66
gaussian_naive_bayes,naive_bayes,none,supervised,0.5,0.99,0.9400000000000001,167900,0.9779894226338081,0.060836501901140684,0.810126582278481,0.11317418213969938,0.947346057416987,0.08375535277469473,44502,988,15,64,0.9798766705435713,0.06535269709543569,0.7974683544303798,0.12080536912751678,0.947346057416987,0.08375535277469473,44589,901,16,63,0.9792841624788782,0.06445115810674723,0.810126582278481,0.11940298507462686,0.947346057416987,0.08375535277469473,44561,929,15,64
dummy_stratified,baseline,none,supervised,0.5,0.01,0.01,397400,0.9966643990432092,0.013333333333333334,0.012658227848101266,0.012987012987012988,0.505515748349199,0.0018804663359769805,45416,74,78,1,0.9966643990432092,0.013333333333333334,0.012658227848101266,0.012987012987012988,0.505515748349199,0.0018804663359769805,45416,74,78,1,0.9966643990432092,0.013333333333333334,0.012658227848101266,0.012987012987012988,0.505515748349199,0.0018804663359769805,45416,74,78,1
dummy_most_frequent,baseline,none,supervised,0.5,0.01,0.01,395000,0.9982663652921943,0.0,0.0,0.0,0.5,0.0017336347078057452,45490,0,79,0,0.9982663652921943,0.0,0.0,0.0,0.5,0.0017336347078057452,45490,0,79,0,0.9982663652921943,0.0,0.0,0.0,0.5,0.0017336347078057452,45490,0,79,0
one_class_svm,anomaly_detection,train_on_normal_class,anomaly,0.5,0.01,0.98,395100,0.08753758037262174,0.0002889825406381698,0.1518987341772152,0.0005768676088837611,0.0802410322480111,0.0009143867460270732,3977,41513,67,12,0.0018653031666264347,0.0015150517093735591,0.8734177215189873,0.003024856428915874,0.0802410322480111,0.0009143867460270732,16,45474,10,69,0.9982444205490575,0.0,0.0,0.0,0.0802410322480111,0.0009143867460270732,45489,1,79,0
isolation_forest,anomaly_detection,train_on_normal_class,anomaly,0.5,0.15000000000000002,0.99,406300,0.014593254185959753,0.0006906231202798138,0.3924050632911392,0.0013788195525508162,0.06807366203728181,0.0008951229037588842,634,44856,48,31,0.002040861111720687,0.0017341674898474371,1.0,0.0034623307183240565,0.06807366203728181,0.0008951229037588842,14,45476,0,79,0.9957866093177379,0.0,0.0,0.0,0.06807366203728181,0.0008951229037588842,45377,113,79,0
local_outlier_factor,anomaly_detection,train_on_normal_class,anomaly,0.5,0.99,0.99,4546600,0.0017775241940793083,0.0017337107994820813,1.0,0.003461420496867195,0.06424697596634119,0.0008950014026056954,2,45488,0,79,0.0022603085430885034,0.0017345482489845208,1.0,0.003463089601963879,0.06424697596634119,0.0008950014026056954,24,45466,0,79,0.0022603085430885034,0.0017345482489845208,1.0,0.003463089601963879,0.06424697596634119,0.0008950014026056954,24,45466,0,79
